CollectionObject.nodeId,CollectionObject.uri,CollectionObject.objectNumber,Exhibition.enValue,Exhibition.nodeId
e8bae8baa8092ab4aabf5bc39ae6b878,https://id.rijksmuseum.nl/20060640,BK-NM-12310-B-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
97c655bb35f3395701bf5c38c61ac27f,https://id.rijksmuseum.nl/20036174,BK-14987,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
86d53946a3b35126b22a83d4a9bb3004,https://id.rijksmuseum.nl/20030840,BK-1954-55-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
a27ecde30caf5432b0a2c66576ed0495,https://id.rijksmuseum.nl/2006379,BK-1978-48-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
4e3123e6aef49fb0577c811459805b2f,https://id.rijksmuseum.nl/20016093,BK-NM-9709,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
4f668eb0d1073625bed2de350a1161c0,https://id.rijksmuseum.nl/2006382,SK-A-4956,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
b4b0d3fdf6be19b81da30d051c32b119,https://id.rijksmuseum.nl/2006381,SK-A-4957,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
50cae3081e7678c0df62ad4d39bd0207,https://id.rijksmuseum.nl/2006380,BK-1978-48-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
9934f56ee435f18446e5c24e289646db,https://id.rijksmuseum.nl/20030109,BK-1963-17,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
428900d2350adca5d4c4d0750ad67c60,https://id.rijksmuseum.nl/20028317,SK-A-911,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
b9bfc57f4e9c8e787394e188b88cd363,https://id.rijksmuseum.nl/20030115,BK-14689,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
58212469453abf7f67e5c5d8a766e24e,https://id.rijksmuseum.nl/20030638,BK-NM-9669-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5f82dd3656130cf180c7344b061d9355,https://id.rijksmuseum.nl/20016106,BK-NM-1119,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
feb2a653816189a357774f9265d309cc,https://id.rijksmuseum.nl/20035151,BK-16518,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
6638204b5c1dbc88f90e386c817fe8f9,https://id.rijksmuseum.nl/20017758,BK-1967-119,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f03fc0abdbe18f0715df7edaebe8ebae,https://id.rijksmuseum.nl/20017764,BK-16517,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
421e2a0fcf133bec3c07c0bd2398523d,https://id.rijksmuseum.nl/20020339,BK-BR-J-119,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
1ef22cb3e5a48671aa6c08661d3ffbb8,https://id.rijksmuseum.nl/20019026,BK-14612,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
0a53fb989ee95dd47c0e43faf22a089c,https://id.rijksmuseum.nl/20074773,BK-NM-864-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
17a865fae01a1f5b3dae28dc746f7ce7,https://id.rijksmuseum.nl/20057746,BK-NM-864-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f66761657977e7ff9c8e399bfaff1089,https://id.rijksmuseum.nl/20020166,BK-1997-52,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
54dc8de77c2459191a728f177358e1fb,https://id.rijksmuseum.nl/20030841,BK-1953-54,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
71213b4fa46c4a64ea7f36c29c54afd9,https://id.rijksmuseum.nl/20030863,BK-NM-10464,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
17b6897a89c6d63a78cfacc8e54bedd2,https://id.rijksmuseum.nl/20019021,BK-BR-364,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
a58cff99e90d29c1690ff1ce1ac516fc,https://id.rijksmuseum.nl/20029705,BK-1978-400,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5a8c902f0f6098f2e7ef29858fbcd621,https://id.rijksmuseum.nl/20030827,BK-1967-53,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
66d290ed3a902b2d7af96c77135549c5,https://id.rijksmuseum.nl/20030829,BK-1966-95,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
